Address,Beds,Baths,Price,Square Foot
"112 Arcadia Cir NW, Atlanta, GA 30314",Studio,Undisclosed,65000,Undisclosed
"3619 Keswick Dr, Atlanta, GA 30341",5bd,7ba,1750000,6093
"GALEN Plan in Glen at Cascading Palms, Atlanta, GA 30331",4bd,3ba,392990,2340
"1460 Hartford Ave SW, Atlanta, GA 30310",3bd,3ba,310000,2662
"140 Mount Zion Rd   SE #8, Atlanta, GA 30354",2bd,1ba,65000,Undisclosed
"3667 Peachtree Rd   NE #9, Atlanta, GA 30319",3bd,4ba,849000,2495
"3667 Peachtree Rd   NE #8, Atlanta, GA 30319",3bd,4ba,875000,2495
"2 Bedroom ; 2 Bathroom Plan in Moreland Walk, Atlanta, GA 30316",2bd,2ba,339000,1105
"10 Perimeter Summit Blvd NE #4203, Atlanta, GA 30319",2bd,2ba,269900,1017
"401 Beverly Rd NE, Atlanta, GA 30309",4bd,4ba,1999000,4132
"1834 Gotham Way  NE #31, Atlanta, GA 30324",4bd,4ba,832767,2046
"3445 Stratford Rd   NE #2703, Atlanta, GA 30326",1bd,1ba,350000,1303
"2044 Groveglen Ct, Atlanta, GA 30345",6bd,5ba,1099000,5750
"1007 Palmetto Ave SW, Atlanta, GA 30314",2bd,1ba,160000,1182
"Cabral Plan in The Villages at Oakshire, Atlanta, GA 30354",3bd,3ba,323950,1634
"1001 Bergeron Pl, Sandy Springs, GA 30328",4bd,4ba,599999,2829
"665 Brookline St SW, Atlanta, GA 30310",3bd,2ba,575000,1765
"813 Sherwood Rd NE, Atlanta, GA 30324",5bd,5ba,2195000,5224
"1104 Riverbend Club Dr SE, Atlanta, GA 30339",2bd,3ba,475000,1352
"2879 Salmon Ave  SE, Atlanta, GA 30317",Studio,Undisclosed,140000,Undisclosed
"1585 Archer St SW, Atlanta, GA 30314",4bd,3ba,419995,1712
"1162 Oakland Ln SW, Atlanta, GA 30310",4bd,2ba,312500,1400
"400 17th St   NW #2409, Atlanta, GA 30363",2bd,2ba,315000,1155
"218 Marion Pl, Atlanta, GA 30307",3bd,4ba,595000,2227
"248 Spalding Gates Dr, Sandy Springs, GA 30328",3bd,3ba,500000,2797
"4452 Dalston Dr   #4, Atlanta, GA 30342",3bd,3ba,543694,1370
"2782 Mango Cir NW, Atlanta, GA 30318",Studio,Undisclosed,59900,Undisclosed
