,Address,Beds,Baths,Price,Square Foot
230,"625 Piedmont Ave  NE #2025, Atlanta, GA 30308",1bd,1ba,"$395,000",916 sqft
231,"2828 Peachtree Rd NE #2802, Atlanta, GA 30305",2bd,2ba,"$550,000","1,371 sqft"
232,"6851 Roswell Rd   #Q20, Atlanta, GA 30328",3bd,2ba,"$280,000","1,469 sqft"
233,"180 Glenrose Cir SW, Atlanta, GA 30354",4bd,2ba,"$305,000",850 sqft
234,"1410 Foxhall Ln   SE #5, Atlanta, GA 30316",3bd,2ba,"$164,900",990 sqft
235,"388 Princeton Way, Atlanta, GA 30307",3bd,2ba,"$750,000","1,839 sqft"
236,"Addison Basement Plan in Stein Steel, Atlanta, GA 30316",2bd,3ba,"$595,000+","1,341 sqft"
237,"112 Arcadia Cir NW, Atlanta, GA 30314",Studio,Undisclosed,"$65,000",Undisclosed
238,"6384 Cherry Tree Ln, Sandy Springs, GA 30328",3bd,3ba,"$450,000",Undisclosed
239,"3397 Rockhaven Cir NE, Atlanta, GA 30324",3bd,2ba,"$660,000","1,690 sqft (on 0.52 acres)"
240,"3619 Keswick Dr, Atlanta, GA 30341",5bd,7ba,"$1,750,000","6,093 sqft (on 0.30 acres)"
241,"2230 Cheshire Bridge Rd   NE #110, Atlanta, GA 30324",1bd,1ba,"$175,000",755 sqft
242,"6230 Mountain Brook Way, Atlanta, GA 30328",6bd,6ba,"$1,435,000","5,000 sqft (on 0.61 acres)"
243,"GALEN Plan in Glen at Cascading Palms, Atlanta, GA 30331",4bd,3ba,"$392,990+","2,340 sqft"
244,"1460 Hartford Ave SW, Atlanta, GA 30310",3bd,3ba,"$310,000","2,662 sqft"
245,"2392 Jefferson Ter, East Pt, GA 30344",3bd,1ba,"$254,000","1,008 sqft"
246,"809 North Ave, Hapeville, GA 30354",6bd,3ba,"$450,000","3,000 sqft (on 0.73 acres)"
247,"140 Mount Zion Rd   SE #8, Atlanta, GA 30354",2bd,1ba,"$65,000",Undisclosed
248,"3667 Peachtree Rd   NE #9, Atlanta, GA 30319",3bd,4ba,"$849,000","2,495 sqft"
249,"3667 Peachtree Rd   NE #8, Atlanta, GA 30319",3bd,4ba,"$875,000","2,495 sqft"
250,"Lindsey Plan in Zephyr, Atlanta, GA 30315",3bd,3ba,"$492,000+","1,500 sqft"
251,"10 Perimeter Summit Blvd NE #4203, Atlanta, GA 30319",2bd,2ba,"$269,900","1,017 sqft"
252,"Townhouse 9 Plan in Downing Park, Atlanta, GA 30307",3bd,4ba,"$1,450,000+","3,006 sqft"
253,"401 Beverly Rd NE, Atlanta, GA 30309",4bd,4ba,"$1,999,000","4,132 sqft (on 0.34 acres)"
254,"3445 Stratford Rd   NE #2703, Atlanta, GA 30326",1bd,1ba,"$350,000","1,303 sqft"
255,"Bellamy Plan in Reverie on Cumberland, Atlanta, GA 30339",2bd,3ba,"$464,900+","1,590 sqft"
256,"Cabral Plan in The Villages at Oakshire, Atlanta, GA 30354",3bd,3ba,"$323,950+","1,634 sqft"
257,"1001 Bergeron Pl, Sandy Springs, GA 30328",4bd,4ba,"$599,999","2,829 sqft"
258,"1007 Palmetto Ave SW, Atlanta, GA 30314",2bd,1ba,"$160,000","1,182 sqft"
259,"Addison Plan in Dalston, Atlanta, GA 30342",2bd,3ba,"$550,000+","1,341 sqft"
260,"665 Brookline St SW, Atlanta, GA 30310",3bd,2ba,"$575,000","1,765 sqft"
