Address,Beds,Baths,Price,Square Foot,Suggested Price
"2212 Westover Dr, East Pt, GA 30344",3bd,1ba,315000,1228,401678.49
"3917 Bonnie Ln SE, Hapeville, GA 30354",4bd,2ba,219000,1339,437986.57
"1100 Osborne St SW, Atlanta, GA 30310",3bd,2ba,319995,1452,474948.84
"905 Fayetteville Rd, Atlanta, GA 30316",3bd,2ba,449900,1408,460556.45
"1162 Oakland Ln SW, Atlanta, GA 30310",4bd,2ba,312500,1400,457939.65
"25 Larue Pl NW, Atlanta, GA 30327",2bd,3ba,285000,1300,425229.67
"4000 Admiral Dr, Chamblee, GA 30341",4bd,3ba,600000,2035,665647.99
"604 Brandywine Cir, Sandy Springs, GA 30350",3bd,3ba,344995,2126,695414.07
"Kerry Plan in The Villages at Oakshire, Atlanta, GA 30354",3bd,2ba,307830,1475,482472.13
"725 Dalrymple Rd #3I, Atlanta, GA 30328",2bd,2ba,229000,1104,361118.12
"364 New Jersey Ave NW, Atlanta, GA 30314",4bd,2ba,372900,1600,523359.6
"30 Glenald Way NW, Atlanta, GA 30327",1bd,1ba,225000,828,270838.59
"5696 Sunlily Dr, Atlanta, GA 30349",4bd,3ba,375000,1835,600228.04
"1382 Lockhaven Cir SW, Atlanta, GA 30311",3bd,2ba,359000,1200,392519.7
"658 S  Grand Ave NW, Atlanta, GA 30318",3bd,2ba,399000,1350,441584.66
"2713 Briarwood Blvd, East Pt, GA 30344",4bd,3ba,340000,1431,468079.74
"Addison Plan in West Highlands, Atlanta, GA 30318",3bd,4ba,550000,1984,648965.9
"JADYN Plan in Glen at Cascading Palms, Atlanta, GA 30331",5bd,3ba,451990,3611,1181157.2
"5380 Brooke Ridge Dr, Atlanta, GA 30338",5bd,5ba,700000,3656,1195876.69
"2772 Veltre Pl SW, Atlanta, GA 30311",3bd,2ba,279000,1434,469061.04
"4555 Danforth Rd SW, Atlanta, GA 30331",3bd,2ba,300000,1648,539060.39
"2082 Wrights Mill Cir, Atlanta, GA 30324",4bd,4ba,799999,3514,1149428.52
"5645 Cascade Pass, Atlanta, GA 30336",3bd,3ba,275000,1638,535789.39
"1105 Pine Tree Trl, Atlanta, GA 30349",4bd,3ba,149999,1297,424248.38
"Darby Plan in The Collection at East Lake, Atlanta, GA 30316",3bd,3ba,473800,1926,629994.12
"2499 Peachtree Rd NE #407, Atlanta, GA 30305",2bd,2ba,300000,1399,457612.55
"1977 Wee Kirk Rd, Atlanta, GA 30316",3bd,2ba,305000,1300,425229.67
"119 Whitefoord Ave  NE #A, Atlanta, GA 30307",4bd,4ba,725000,2366,773918.01
"1384 Emory Rd, Atlanta, GA 30306",5bd,4ba,740000,2558,836721.16
"2175 Greencrest Dr, Atlanta, GA 30345",5bd,3ba,799000,2744,897561.71
"2852 Hawthorne Dr, Atlanta, GA 30345",6bd,6ba,1295000,5900,1929888.52
"5929 Oak Rd, Doraville, GA 30340",2bd,1ba,259900,928,303548.57
"996 Forrest Cir SE, Atlanta, GA 30354",3bd,2ba,175000,1196,391211.3
"Riverview Plan in Riverline, Atlanta, GA 30318",3bd,4ba,500000,2175,711441.96
"Hummingbird Plan in Park Vue, Atlanta, GA 30318",3bd,3ba,424900,1362,445509.86
"1094 Mendell Cir  NE, Atlanta, GA 30319",3bd,3ba,925000,2899,948262.18
"295 Francyne Ct NE, Sandy Springs, GA 30328",3bd,3ba,510000,2375,776861.91
"2715 Piper Dr, Atlanta, GA 30331",5bd,3ba,414290,2511,821347.47
"515 Hancock Dr   SE, Atlanta, GA 30306",4bd,3ba,424990,2506,819711.97
"837 Smith St   SW #B, Atlanta, GA 30310",2bd,2ba,248000,1050,343454.74
"3410 Essex Ave, Atlanta, GA 30339",2bd,2ba,281000,1181,386304.8
"607 Enterkin Ct, South Fulton, GA 30349",4bd,3ba,350000,2278,745133.23
"1280 W  Peachtree St   NW #3308, Atlanta, GA 30309",1bd,1ba,250000,813,265932.1
"HANOVER Plan in Glen at Cascading Palms, Atlanta, GA 30331",4bd,3ba,413990,2804,917187.7
"2535 Abner Pl NW, Atlanta, GA 30318",3bd,1ba,215000,864,282614.18
"1406 Mozley Pl SW, Atlanta, GA 30314",3bd,2ba,379999,1210,395790.7
"133 Holly Rd NW, Atlanta, GA 30314",3bd,1ba,227000,913,298642.07
"1962 Montrose Dr, East Pt, GA 30344",3bd,3ba,374900,1971,644713.61
"1332 Willis Mill Rd SW, Atlanta, GA 30311",4bd,2ba,329000,2203,720600.75
"2845 Forrest Hills Dr SW, Atlanta, GA 30315",4bd,4ba,339600,2100,686909.47
"1591 Abner Ter NW, Atlanta, GA 30318",3bd,2ba,210000,1192,389902.9
"1504 Woodcliff Dr NE, Sandy Springs, GA 30350",2bd,1ba,259900,1000,327099.75
"5220 Koweta Rd   S, Atlanta, GA 30349",3bd,3ba,200000,1104,361118.12
"515 Hancock Dr   SE #40, Atlanta, GA 30306",4bd,3ba,424990,2506,819711.97
"2356 Johnson Rd, Atlanta, GA 30345",3bd,3ba,315000,1600,523359.6
"2544 Laurel Cir NW, Atlanta, GA 30311",2bd,3ba,245000,1626,531864.19
"Brycen Plan in Reverie on Cumberland, Atlanta, GA 30339",2bd,3ba,464900,1569,513219.51
"2369 Cloverdale Dr, Atlanta, GA 30316",4bd,3ba,575000,2606,852421.95
